from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,49,57,2,-1,-1
0,5,44,54,2,-1,-1
0,6,57,77,2,-1,-1
0,7,27,52,2,-1,-1
0,8,17,49,2,-1,-1
0,9,39,8,2,-1,-1
1,2,24,40,2,-1,-1
1,7,23,49,2,-1,-1
1,8,35,57,2,-1,-1
2,4,33,23,2,-1,-1
2,6,27,34,2,-1,-1
2,7,17,68,2,-1,-1
2,10,36,71,2,-1,-1
3,6,8,37,2,-1,-1
4,5,16,82,2,-1,-1
4,6,35,78,2,-1,-1
4,7,36,34,2,-1,-1
4,8,24,103,2,-1,-1
4,10,44,51,2,-1,-1
5,6,20,39,2,-1,-1
6,7,43,43,2,-1,-1
6,8,41,54,2,-1,-1
6,10,10,45,2,-1,-1
7,8,12,63,2,-1,-1
8,9,42,49,2,-1,-1
1,0,49,57,2,-1,-1
5,0,44,54,2,-1,-1
6,0,57,77,2,-1,-1
7,0,27,52,2,-1,-1
8,0,17,49,2,-1,-1
9,0,39,8,2,-1,-1
2,1,24,40,2,-1,-1
7,1,23,49,2,-1,-1
8,1,35,57,2,-1,-1
4,2,33,23,2,-1,-1
6,2,27,34,2,-1,-1
7,2,17,68,2,-1,-1
10,2,36,71,2,-1,-1
6,3,8,37,2,-1,-1
5,4,16,82,2,-1,-1
6,4,35,78,2,-1,-1
7,4,36,34,2,-1,-1
8,4,24,103,2,-1,-1
10,4,44,51,2,-1,-1
6,5,20,39,2,-1,-1
7,6,43,43,2,-1,-1
8,6,41,54,2,-1,-1
10,6,10,45,2,-1,-1
8,7,12,63,2,-1,-1
9,8,42,49,2,-1,-1
