x,y,SR_demand,exits,injured
0.7449790626583225,0.49974454802683355,96,0,1
0.6156846646895417,0.22442528073062207,120,0,1
0.632223635435718,0.43146896030834236,112,0,1
0.20963874509498848,0.1062870025479733,95,0,1
0.6561138179993418,0.18457824189423855,98,0,1
0.2108169478264479,0.8896830196956664,93,0,1
0.9659234812137834,0.4815789951146906,101,0,1
0.7021851682914756,0.789348120900034,82,0,1
0.34232458009718947,0.44034801773444077,107,0,1
0.3751870757181157,0.5591778076287997,108,0,1
0.3896513507654874,0.1524843178849078,106,0,1
0.580783913710198,0.8429263931367407,114,0,1
0.7939237940310848,0.8235290995705064,96,0,1
0.2773305318579351,0.677798904496844,98,0,1
0.9197900989616138,0.028713524858735018,94,0,1
0.6901173665397214,0.09455776147683082,107,0,1
0.3764214526162448,0.5995368681931534,102,0,1
0.6187640512727467,0.5171780846428808,100,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
