x,y,SR_demand,exits,injured
0.13327805465269327,0.8665417813308081,99,0,1
0.534091959221409,0.43821038054648254,88,0,1
0.9967834024522596,0.510205449743083,99,0,1
0.08314080941363011,0.23952355013556292,103,0,1
0.23665313414618794,0.9171481160948977,84,0,1
0.682259916973389,0.6027528533845461,91,0,1
0.7494170793445596,0.8280116262824089,101,0,1
0.4826661666264369,0.14538670474880422,103,0,1
0.8674202025019435,0.572250954027264,70,0,1
0.17100455709963136,0.8184813723047446,93,0,1
0.8715679225371887,0.7307810849484959,105,0,1
0.5537102534409419,0.4854922717637936,100,0,1
0.02254266639005309,0.5483683695086684,93,0,1
0.11123989984130611,0.18099103172813047,102,0,1
0.7200656464743339,0.3513767826754961,105,0,1
0.7812906068145791,0.5180279631192567,105,0,1
0.9676541350632231,0.5967162467743846,88,0,1
0.2799871988538707,0.5178227477282014,98,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
