x,y,SR_demand,exits,injured
0.5130708525833636,0.6415986087760699,100,0,1
0.20112497262667595,0.5999987130006802,102,0,1
0.05656416300577538,0.007715643959654184,94,0,1
0.8957876332050945,0.6381195127215602,91,0,1
0.15288774274207417,0.048010776844183645,92,0,1
0.6301967037804295,0.427880618397416,124,0,1
0.7253045535217749,0.416445505072615,76,0,1
0.603120855909752,0.2899716483050172,94,0,1
0.30241922124988274,0.7401672256535753,109,0,1
0.3076220963747174,0.055821920218044,94,0,1
0.03357695993349852,0.7912808893812192,105,0,1
0.3413095240525996,0.18719022121329643,90,0,1
0.324440084535461,0.6396234921678449,96,0,1
0.9442210489982362,0.05966822667750338,110,0,1
0.38787333202105534,0.7211923536855371,87,0,1
0.19168286120155886,0.48268896574767717,123,0,1
0.44660567568542464,0.1518341794362954,87,0,1
0.2201108440609194,0.2077307521229823,108,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
