from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,25,16,2,-1,-1
0,3,13,44,2,-1,-1
0,5,13,71,2,-1,-1
0,6,7,34,2,-1,-1
0,7,21,53,2,-1,-1
0,8,16,65,2,-1,-1
1,2,59,59,2,-1,-1
1,3,41,59,2,-1,-1
1,4,2,46,2,-1,-1
1,8,32,46,2,-1,-1
1,9,8,29,2,-1,-1
2,3,38,52,2,-1,-1
2,5,14,74,2,-1,-1
2,6,20,42,2,-1,-1
2,7,37,86,2,-1,-1
2,9,65,55,2,-1,-1
2,10,31,109,2,-1,-1
3,5,24,20,2,-1,-1
3,7,18,51,2,-1,-1
3,8,25,33,2,-1,-1
3,10,58,71,2,-1,-1
4,6,51,50,2,-1,-1
4,7,61,78,2,-1,-1
4,9,5,60,2,-1,-1
4,10,58,55,2,-1,-1
5,8,22,40,2,-1,-1
5,10,41,17,2,-1,-1
6,10,45,62,2,-1,-1
7,8,37,13,2,-1,-1
7,9,67,47,2,-1,-1
8,10,34,47,2,-1,-1
2,0,25,16,2,-1,-1
3,0,13,44,2,-1,-1
5,0,13,71,2,-1,-1
6,0,7,34,2,-1,-1
7,0,21,53,2,-1,-1
8,0,16,65,2,-1,-1
2,1,59,59,2,-1,-1
3,1,41,59,2,-1,-1
4,1,2,46,2,-1,-1
8,1,32,46,2,-1,-1
9,1,8,29,2,-1,-1
3,2,38,52,2,-1,-1
5,2,14,74,2,-1,-1
6,2,20,42,2,-1,-1
7,2,37,86,2,-1,-1
9,2,65,55,2,-1,-1
10,2,31,109,2,-1,-1
5,3,24,20,2,-1,-1
7,3,18,51,2,-1,-1
8,3,25,33,2,-1,-1
10,3,58,71,2,-1,-1
6,4,51,50,2,-1,-1
7,4,61,78,2,-1,-1
9,4,5,60,2,-1,-1
10,4,58,55,2,-1,-1
8,5,22,40,2,-1,-1
10,5,41,17,2,-1,-1
10,6,45,62,2,-1,-1
8,7,37,13,2,-1,-1
9,7,67,47,2,-1,-1
10,8,34,47,2,-1,-1
