from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,12,69,2,-1,-1
0,2,21,48,2,-1,-1
0,3,29,36,2,-1,-1
0,5,24,71,2,-1,-1
0,6,31,26,2,-1,-1
1,2,15,26,2,-1,-1
1,3,34,54,2,-1,-1
1,6,22,51,2,-1,-1
1,8,12,50,2,-1,-1
2,3,25,24,2,-1,-1
2,5,43,28,2,-1,-1
2,6,10,54,2,-1,-1
2,8,8,57,2,-1,-1
2,9,41,47,2,-1,-1
3,4,31,61,2,-1,-1
3,5,36,33,2,-1,-1
3,6,33,69,2,-1,-1
3,8,33,23,2,-1,-1
3,9,27,57,2,-1,-1
3,10,39,44,2,-1,-1
4,6,61,10,2,-1,-1
4,10,8,26,2,-1,-1
5,6,54,43,2,-1,-1
5,7,30,64,2,-1,-1
5,8,46,43,2,-1,-1
5,10,27,93,2,-1,-1
6,7,55,73,2,-1,-1
6,10,69,38,2,-1,-1
1,0,12,69,2,-1,-1
2,0,21,48,2,-1,-1
3,0,29,36,2,-1,-1
5,0,24,71,2,-1,-1
6,0,31,26,2,-1,-1
2,1,15,26,2,-1,-1
3,1,34,54,2,-1,-1
6,1,22,51,2,-1,-1
8,1,12,50,2,-1,-1
3,2,25,24,2,-1,-1
5,2,43,28,2,-1,-1
6,2,10,54,2,-1,-1
8,2,8,57,2,-1,-1
9,2,41,47,2,-1,-1
4,3,31,61,2,-1,-1
5,3,36,33,2,-1,-1
6,3,33,69,2,-1,-1
8,3,33,23,2,-1,-1
9,3,27,57,2,-1,-1
10,3,39,44,2,-1,-1
6,4,61,10,2,-1,-1
10,4,8,26,2,-1,-1
6,5,54,43,2,-1,-1
7,5,30,64,2,-1,-1
8,5,46,43,2,-1,-1
10,5,27,93,2,-1,-1
7,6,55,73,2,-1,-1
10,6,69,38,2,-1,-1
