from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,19,31,2,-1,-1
0,3,38,57,2,-1,-1
0,4,12,59,2,-1,-1
0,6,29,36,2,-1,-1
0,8,13,50,2,-1,-1
0,10,20,58,2,-1,-1
1,4,34,39,2,-1,-1
1,6,24,60,2,-1,-1
1,7,20,31,2,-1,-1
1,9,34,52,2,-1,-1
2,3,25,27,2,-1,-1
2,4,22,58,2,-1,-1
2,5,12,57,2,-1,-1
2,6,31,53,2,-1,-1
2,7,7,54,2,-1,-1
2,8,25,59,2,-1,-1
2,9,22,111,2,-1,-1
2,10,39,35,2,-1,-1
3,4,33,29,2,-1,-1
3,5,14,61,2,-1,-1
3,7,18,74,2,-1,-1
3,8,35,67,2,-1,-1
4,5,20,22,2,-1,-1
4,6,18,16,2,-1,-1
4,7,23,57,2,-1,-1
4,8,2,75,2,-1,-1
5,6,20,15,2,-1,-1
5,8,23,58,2,-1,-1
6,7,27,47,2,-1,-1
6,8,18,6,2,-1,-1
7,9,22,48,2,-1,-1
2,0,19,31,2,-1,-1
3,0,38,57,2,-1,-1
4,0,12,59,2,-1,-1
6,0,29,36,2,-1,-1
8,0,13,50,2,-1,-1
10,0,20,58,2,-1,-1
4,1,34,39,2,-1,-1
6,1,24,60,2,-1,-1
7,1,20,31,2,-1,-1
9,1,34,52,2,-1,-1
3,2,25,27,2,-1,-1
4,2,22,58,2,-1,-1
5,2,12,57,2,-1,-1
6,2,31,53,2,-1,-1
7,2,7,54,2,-1,-1
8,2,25,59,2,-1,-1
9,2,22,111,2,-1,-1
10,2,39,35,2,-1,-1
4,3,33,29,2,-1,-1
5,3,14,61,2,-1,-1
7,3,18,74,2,-1,-1
8,3,35,67,2,-1,-1
5,4,20,22,2,-1,-1
6,4,18,16,2,-1,-1
7,4,23,57,2,-1,-1
8,4,2,75,2,-1,-1
6,5,20,15,2,-1,-1
8,5,23,58,2,-1,-1
7,6,27,47,2,-1,-1
8,6,18,6,2,-1,-1
9,7,22,48,2,-1,-1
