from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,35,81,2,-1,-1
0,2,15,19,2,-1,-1
0,3,8,37,2,-1,-1
0,7,35,32,2,-1,-1
0,10,45,54,2,-1,-1
1,2,28,46,2,-1,-1
1,3,28,48,2,-1,-1
1,4,22,63,2,-1,-1
1,5,15,22,2,-1,-1
1,7,33,71,2,-1,-1
1,10,50,50,2,-1,-1
2,4,14,87,2,-1,-1
2,5,36,32,2,-1,-1
2,9,29,41,2,-1,-1
3,4,20,36,2,-1,-1
3,5,39,74,2,-1,-1
3,7,37,32,2,-1,-1
3,8,21,51,2,-1,-1
3,9,26,69,2,-1,-1
4,5,25,32,2,-1,-1
4,9,43,45,2,-1,-1
4,10,63,29,2,-1,-1
5,6,28,63,2,-1,-1
5,9,65,30,2,-1,-1
7,8,17,101,2,-1,-1
8,9,43,89,2,-1,-1
8,10,32,67,2,-1,-1
1,0,35,81,2,-1,-1
2,0,15,19,2,-1,-1
3,0,8,37,2,-1,-1
7,0,35,32,2,-1,-1
10,0,45,54,2,-1,-1
2,1,28,46,2,-1,-1
3,1,28,48,2,-1,-1
4,1,22,63,2,-1,-1
5,1,15,22,2,-1,-1
7,1,33,71,2,-1,-1
10,1,50,50,2,-1,-1
4,2,14,87,2,-1,-1
5,2,36,32,2,-1,-1
9,2,29,41,2,-1,-1
4,3,20,36,2,-1,-1
5,3,39,74,2,-1,-1
7,3,37,32,2,-1,-1
8,3,21,51,2,-1,-1
9,3,26,69,2,-1,-1
5,4,25,32,2,-1,-1
9,4,43,45,2,-1,-1
10,4,63,29,2,-1,-1
6,5,28,63,2,-1,-1
9,5,65,30,2,-1,-1
8,7,17,101,2,-1,-1
9,8,43,89,2,-1,-1
10,8,32,67,2,-1,-1
