from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,36,78,2,-1,-1
0,3,17,84,2,-1,-1
0,4,42,40,2,-1,-1
0,5,45,54,2,-1,-1
0,6,6,44,2,-1,-1
0,9,66,50,2,-1,-1
1,2,16,63,2,-1,-1
1,3,19,64,2,-1,-1
1,5,16,77,2,-1,-1
1,6,32,80,2,-1,-1
1,7,42,58,2,-1,-1
1,10,49,50,2,-1,-1
2,3,34,67,2,-1,-1
2,8,21,31,2,-1,-1
2,9,29,77,2,-1,-1
2,10,64,25,2,-1,-1
3,5,31,39,2,-1,-1
3,6,12,47,2,-1,-1
3,8,38,76,2,-1,-1
3,10,43,34,2,-1,-1
4,5,7,91,2,-1,-1
4,10,35,81,2,-1,-1
5,6,42,46,2,-1,-1
8,10,77,26,2,-1,-1
1,0,36,78,2,-1,-1
3,0,17,84,2,-1,-1
4,0,42,40,2,-1,-1
5,0,45,54,2,-1,-1
6,0,6,44,2,-1,-1
9,0,66,50,2,-1,-1
2,1,16,63,2,-1,-1
3,1,19,64,2,-1,-1
5,1,16,77,2,-1,-1
6,1,32,80,2,-1,-1
7,1,42,58,2,-1,-1
10,1,49,50,2,-1,-1
3,2,34,67,2,-1,-1
8,2,21,31,2,-1,-1
9,2,29,77,2,-1,-1
10,2,64,25,2,-1,-1
5,3,31,39,2,-1,-1
6,3,12,47,2,-1,-1
8,3,38,76,2,-1,-1
10,3,43,34,2,-1,-1
5,4,7,91,2,-1,-1
10,4,35,81,2,-1,-1
6,5,42,46,2,-1,-1
10,8,77,26,2,-1,-1
