from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,38,65,2,-1,-1
0,2,45,61,2,-1,-1
0,3,14,74,2,-1,-1
0,4,43,73,2,-1,-1
0,5,8,33,2,-1,-1
0,6,22,36,2,-1,-1
0,7,29,36,2,-1,-1
0,9,44,23,2,-1,-1
0,11,15,68,2,-1,-1
0,12,7,59,2,-1,-1
0,13,43,57,2,-1,-1
0,15,31,46,2,-1,-1
0,16,46,46,2,-1,-1
0,19,49,95,2,-1,-1
0,21,10,67,2,-1,-1
1,3,27,29,2,-1,-1
1,4,22,40,2,-1,-1
1,8,39,44,2,-1,-1
1,9,43,64,2,-1,-1
1,10,23,74,2,-1,-1
1,15,7,51,2,-1,-1
1,20,62,83,2,-1,-1
1,21,46,1,2,-1,-1
2,3,34,59,2,-1,-1
2,4,23,80,2,-1,-1
2,5,51,60,2,-1,-1
2,7,33,54,2,-1,-1
2,8,45,60,2,-1,-1
2,9,46,29,2,-1,-1
2,12,49,44,2,-1,-1
2,13,19,92,2,-1,-1
2,15,15,21,2,-1,-1
2,16,5,49,2,-1,-1
2,19,18,51,2,-1,-1
3,5,16,46,2,-1,-1
3,11,30,26,2,-1,-1
3,12,14,39,2,-1,-1
3,15,19,30,2,-1,-1
3,16,34,36,2,-1,-1
3,17,22,33,2,-1,-1
3,18,58,35,2,-1,-1
3,19,43,64,2,-1,-1
3,20,42,66,2,-1,-1
3,21,19,75,2,-1,-1
4,9,23,75,2,-1,-1
4,13,4,45,2,-1,-1
4,14,5,41,2,-1,-1
4,15,26,64,2,-1,-1
4,16,28,47,2,-1,-1
4,18,24,68,2,-1,-1
4,19,9,40,2,-1,-1
4,20,58,43,2,-1,-1
4,21,54,53,2,-1,-1
5,6,24,34,2,-1,-1
5,11,18,39,2,-1,-1
5,12,2,25,2,-1,-1
5,14,47,52,2,-1,-1
5,17,19,38,2,-1,-1
5,21,2,48,2,-1,-1
6,12,25,13,2,-1,-1
6,13,56,73,2,-1,-1
6,17,18,45,2,-1,-1
6,21,23,62,2,-1,-1
7,8,15,24,2,-1,-1
7,9,18,86,2,-1,-1
7,10,22,0,2,-1,-1
7,12,36,21,2,-1,-1
7,13,19,46,2,-1,-1
7,14,11,36,2,-1,-1
7,15,26,58,2,-1,-1
7,16,36,90,2,-1,-1
7,21,40,39,2,-1,-1
8,11,22,11,2,-1,-1
8,12,29,57,2,-1,-1
8,13,34,46,2,-1,-1
8,14,26,52,2,-1,-1
8,15,35,56,2,-1,-1
8,17,10,22,2,-1,-1
8,19,40,79,2,-1,-1
8,20,26,35,2,-1,-1
9,10,27,18,2,-1,-1
9,14,20,71,2,-1,-1
9,16,50,46,2,-1,-1
9,18,13,60,2,-1,-1
9,20,46,33,2,-1,-1
10,11,57,44,2,-1,-1
10,13,5,55,2,-1,-1
10,14,11,68,2,-1,-1
10,16,27,45,2,-1,-1
10,18,25,36,2,-1,-1
10,21,58,35,2,-1,-1
11,12,18,13,2,-1,-1
11,16,60,30,2,-1,-1
11,18,59,42,2,-1,-1
11,20,13,57,2,-1,-1
12,17,18,2,2,-1,-1
12,20,32,52,2,-1,-1
12,21,4,57,2,-1,-1
13,14,8,61,2,-1,-1
13,17,38,75,2,-1,-1
13,18,28,59,2,-1,-1
13,19,6,53,2,-1,-1
14,15,25,81,2,-1,-1
14,16,30,78,2,-1,-1
14,17,32,54,2,-1,-1
14,18,23,31,2,-1,-1
14,19,14,54,2,-1,-1
14,20,53,60,2,-1,-1
15,16,15,43,2,-1,-1
16,17,47,48,2,-1,-1
16,19,24,67,2,-1,-1
16,20,71,57,2,-1,-1
17,19,45,43,2,-1,-1
17,20,23,60,2,-1,-1
17,21,20,15,2,-1,-1
18,21,67,37,2,-1,-1
19,21,60,57,2,-1,-1
1,0,38,65,2,-1,-1
2,0,45,61,2,-1,-1
3,0,14,74,2,-1,-1
