from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,13,22,2,-1,-1
0,3,11,65,2,-1,-1
0,6,27,60,2,-1,-1
0,8,47,68,2,-1,-1
0,9,42,91,2,-1,-1
0,12,36,14,2,-1,-1
0,15,2,42,2,-1,-1
0,16,14,88,2,-1,-1
0,17,10,35,2,-1,-1
0,18,23,71,2,-1,-1
0,19,13,55,2,-1,-1
1,3,25,63,2,-1,-1
1,4,29,58,2,-1,-1
1,7,53,39,2,-1,-1
1,10,10,111,2,-1,-1
1,13,20,80,2,-1,-1
1,14,35,46,2,-1,-1
1,15,11,30,2,-1,-1
1,17,16,69,2,-1,-1
1,19,12,11,2,-1,-1
2,3,40,85,2,-1,-1
2,6,23,36,2,-1,-1
2,7,21,38,2,-1,-1
2,12,0,15,2,-1,-1
2,14,34,66,2,-1,-1
2,15,37,34,2,-1,-1
2,16,46,25,2,-1,-1
2,18,54,58,2,-1,-1
2,19,47,59,2,-1,-1
2,21,13,33,2,-1,-1
3,4,44,44,2,-1,-1
3,5,64,53,2,-1,-1
3,6,23,39,2,-1,-1
3,8,45,53,2,-1,-1
3,9,37,52,2,-1,-1
3,11,22,20,2,-1,-1
3,16,6,1,2,-1,-1
3,17,14,92,2,-1,-1
3,19,22,58,2,-1,-1
4,6,34,16,2,-1,-1
4,9,41,38,2,-1,-1
4,11,35,41,2,-1,-1
4,12,16,30,2,-1,-1
4,14,17,5,2,-1,-1
4,15,35,34,2,-1,-1
4,17,29,16,2,-1,-1
5,9,56,49,2,-1,-1
5,13,39,47,2,-1,-1
5,18,78,63,2,-1,-1
5,20,56,60,2,-1,-1
6,7,24,14,2,-1,-1
6,9,15,32,2,-1,-1
6,12,22,66,2,-1,-1
6,16,29,15,2,-1,-1
6,19,39,43,2,-1,-1
6,20,27,41,2,-1,-1
6,21,34,30,2,-1,-1
7,8,2,60,2,-1,-1
7,9,13,50,2,-1,-1
7,10,45,62,2,-1,-1
7,15,50,45,2,-1,-1
7,18,58,47,2,-1,-1
7,19,62,51,2,-1,-1
7,20,7,88,2,-1,-1
8,11,54,66,2,-1,-1
8,19,59,62,2,-1,-1
8,20,9,53,2,-1,-1
8,21,22,67,2,-1,-1
9,12,25,26,2,-1,-1
9,13,62,53,2,-1,-1
9,17,33,54,2,-1,-1
9,20,13,50,2,-1,-1
10,11,11,69,2,-1,-1
10,13,29,91,2,-1,-1
10,14,40,37,2,-1,-1
10,16,20,52,2,-1,-1
10,17,6,19,2,-1,-1
10,18,29,50,2,-1,-1
10,21,44,96,2,-1,-1
11,12,40,47,2,-1,-1
11,13,25,15,2,-1,-1
11,15,8,69,2,-1,-1
11,16,23,78,2,-1,-1
11,17,17,41,2,-1,-1
11,19,6,52,2,-1,-1
12,13,42,69,2,-1,-1
12,14,34,72,2,-1,-1
12,15,36,73,2,-1,-1
12,18,53,47,2,-1,-1
12,19,46,25,2,-1,-1
13,14,22,105,2,-1,-1
13,17,34,59,2,-1,-1
14,18,70,60,2,-1,-1
15,16,16,56,2,-1,-1
15,18,25,78,2,-1,-1
15,19,11,83,2,-1,-1
15,20,55,61,2,-1,-1
16,17,19,71,2,-1,-1
16,18,9,38,2,-1,-1
17,19,21,59,2,-1,-1
18,19,30,73,2,-1,-1
20,21,30,59,2,-1,-1
1,0,13,22,2,-1,-1
3,0,11,65,2,-1,-1
6,0,27,60,2,-1,-1
8,0,47,68,2,-1,-1
9,0,42,91,2,-1,-1
12,0,36,14,2,-1,-1
15,0,2,42,2,-1,-1
16,0,14,88,2,-1,-1
17,0,10,35,2,-1,-1
18,0,23,71,2,-1,-1
19,0,13,55,2,-1,-1
3,1,25,63,2,-1,-1
4,1,29,58,2,-1,-1
7,1,53,39,2,-1,-1
10,1,10,111,2,-1,-1
13,1,20,80,2,-1,-1
14,1,35,46,2,-1,-1
15,1,11,30,2,-1,-1
17,1,16,69,2,-1,-1
19,1,12,11,2,-1,-1
3,2,40,85,2,-1,-1
6,2,23,36,2,-1,-1
7,2,21,38,2,-1,-1
12,2,0,15,2,-1,-1
14,2,34,66,2,-1,-1
15,2,37,34,2,-1,-1
16,2,46,25,2,-1,-1
18,2,54,58,2,-1,-1
19,2,47,59,2,-1,-1
21,2,13,33,2,-1,-1
4,3,44,44,2,-1,-1
5,3,64,53,2,-1,-1
6,3,23,39,2,-1,-1
8,3,45,53,2,-1,-1
9,3,37,52,2,-1,-1
11,3,22,20,2,-1,-1
16,3,6,1,2,-1,-1
17,3,14,92,2,-1,-1
19,3,22,58,2,-1,-1
6,4,34,16,2,-1,-1
9,4,41,38,2,-1,-1
11,4,35,41,2,-1,-1
12,4,16,30,2,-1,-1
14,4,17,5,2,-1,-1
15,4,35,34,2,-1,-1
17,4,29,16,2,-1,-1
9,5,56,49,2,-1,-1
13,5,39,47,2,-1,-1
18,5,78,63,2,-1,-1
20,5,56,60,2,-1,-1
7,6,24,14,2,-1,-1
9,6,15,32,2,-1,-1
12,6,22,66,2,-1,-1
16,6,29,15,2,-1,-1
19,6,39,43,2,-1,-1
20,6,27,41,2,-1,-1
21,6,34,30,2,-1,-1
8,7,2,60,2,-1,-1
9,7,13,50,2,-1,-1
10,7,45,62,2,-1,-1
15,7,50,45,2,-1,-1
18,7,58,47,2,-1,-1
19,7,62,51,2,-1,-1
20,7,7,88,2,-1,-1
11,8,54,66,2,-1,-1
19,8,59,62,2,-1,-1
20,8,9,53,2,-1,-1
21,8,22,67,2,-1,-1
12,9,25,26,2,-1,-1
13,9,62,53,2,-1,-1
17,9,33,54,2,-1,-1
20,9,13,50,2,-1,-1
11,10,11,69,2,-1,-1
13,10,29,91,2,-1,-1
14,10,40,37,2,-1,-1
16,10,20,52,2,-1,-1
17,10,6,19,2,-1,-1
18,10,29,50,2,-1,-1
21,10,44,96,2,-1,-1
12,11,40,47,2,-1,-1
13,11,25,15,2,-1,-1
15,11,8,69,2,-1,-1
16,11,23,78,2,-1,-1
17,11,17,41,2,-1,-1
19,11,6,52,2,-1,-1
13,12,42,69,2,-1,-1
14,12,34,72,2,-1,-1
15,12,36,73,2,-1,-1
18,12,53,47,2,-1,-1
19,12,46,25,2,-1,-1
14,13,22,105,2,-1,-1
17,13,34,59,2,-1,-1
18,14,70,60,2,-1,-1
16,15,16,56,2,-1,-1
18,15,25,78,2,-1,-1
19,15,11,83,2,-1,-1
20,15,55,61,2,-1,-1
17,16,19,71,2,-1,-1
18,16,9,38,2,-1,-1
19,17,21,59,2,-1,-1
19,18,30,73,2,-1,-1
21,20,30,59,2,-1,-1
