from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,35,21,2,-1,-1
1,0,35,21,2,-1,-1
0,8,47,82,2,-1,-1
8,0,47,82,2,-1,-1
0,9,3,44,2,-1,-1
9,0,3,44,2,-1,-1
0,10,45,61,2,-1,-1
10,0,45,61,2,-1,-1
0,11,34,47,2,-1,-1
11,0,34,47,2,-1,-1
0,12,20,34,2,-1,-1
12,0,20,34,2,-1,-1
0,14,46,20,2,-1,-1
14,0,46,20,2,-1,-1
0,16,52,68,2,-1,-1
16,0,52,68,2,-1,-1
0,17,22,30,2,-1,-1
17,0,22,30,2,-1,-1
0,18,52,37,2,-1,-1
18,0,52,37,2,-1,-1
0,19,56,39,2,-1,-1
19,0,56,39,2,-1,-1
0,20,11,38,2,-1,-1
20,0,11,38,2,-1,-1
0,21,23,54,2,-1,-1
21,0,23,54,2,-1,-1
1,3,29,60,2,-1,-1
3,1,29,60,2,-1,-1
1,6,26,76,2,-1,-1
6,1,26,76,2,-1,-1
1,8,21,18,2,-1,-1
8,1,21,18,2,-1,-1
1,10,26,41,2,-1,-1
10,1,26,41,2,-1,-1
1,11,3,78,2,-1,-1
11,1,3,78,2,-1,-1
1,13,29,38,2,-1,-1
13,1,29,38,2,-1,-1
1,14,12,78,2,-1,-1
14,1,12,78,2,-1,-1
1,15,15,55,2,-1,-1
15,1,15,55,2,-1,-1
1,17,15,44,2,-1,-1
17,1,15,44,2,-1,-1
1,19,26,55,2,-1,-1
19,1,26,55,2,-1,-1
1,21,33,55,2,-1,-1
21,1,33,55,2,-1,-1
2,5,19,70,2,-1,-1
5,2,19,70,2,-1,-1
2,6,24,56,2,-1,-1
6,2,24,56,2,-1,-1
2,7,37,35,2,-1,-1
7,2,37,35,2,-1,-1
2,8,8,54,2,-1,-1
8,2,8,54,2,-1,-1
2,10,15,81,2,-1,-1
10,2,15,81,2,-1,-1
2,11,26,43,2,-1,-1
11,2,26,43,2,-1,-1
2,13,56,44,2,-1,-1
13,2,56,44,2,-1,-1
2,16,5,42,2,-1,-1
16,2,5,42,2,-1,-1
2,17,43,17,2,-1,-1
17,2,43,17,2,-1,-1
2,20,66,31,2,-1,-1
20,2,66,31,2,-1,-1
3,6,53,51,2,-1,-1
6,3,53,51,2,-1,-1
3,7,24,36,2,-1,-1
7,3,24,36,2,-1,-1
3,11,31,65,2,-1,-1
11,3,31,65,2,-1,-1
3,13,3,23,2,-1,-1
13,3,3,23,2,-1,-1
3,14,38,58,2,-1,-1
14,3,38,58,2,-1,-1
3,17,20,40,2,-1,-1
17,3,20,40,2,-1,-1
3,18,15,51,2,-1,-1
18,3,15,51,2,-1,-1
3,20,45,37,2,-1,-1
20,3,45,37,2,-1,-1
4,5,32,25,2,-1,-1
5,4,32,25,2,-1,-1
4,6,31,52,2,-1,-1
6,4,31,52,2,-1,-1
4,9,7,86,2,-1,-1
9,4,7,86,2,-1,-1
4,11,32,35,2,-1,-1
11,4,32,35,2,-1,-1
4,12,25,42,2,-1,-1
12,4,25,42,2,-1,-1
4,16,47,56,2,-1,-1
16,4,47,56,2,-1,-1
4,17,24,49,2,-1,-1
17,4,24,49,2,-1,-1
4,20,15,53,2,-1,-1
20,4,15,53,2,-1,-1
5,9,33,64,2,-1,-1
9,5,33,64,2,-1,-1
5,10,13,25,2,-1,-1
10,5,13,25,2,-1,-1
5,12,39,47,2,-1,-1
12,5,39,47,2,-1,-1
5,14,15,64,2,-1,-1
14,5,15,64,2,-1,-1
5,15,7,53,2,-1,-1
15,5,7,53,2,-1,-1
5,17,24,16,2,-1,-1
17,5,24,16,2,-1,-1
5,19,37,50,2,-1,-1
19,5,37,50,2,-1,-1
5,21,26,72,2,-1,-1
21,5,26,72,2,-1,-1
6,9,34,58,2,-1,-1
9,6,34,58,2,-1,-1
6,14,28,47,2,-1,-1
14,6,28,47,2,-1,-1
6,16,19,44,2,-1,-1
16,6,19,44,2,-1,-1
6,17,33,80,2,-1,-1
17,6,33,80,2,-1,-1
6,20,46,30,2,-1,-1
20,6,46,30,2,-1,-1
7,9,44,66,2,-1,-1
9,7,44,66,2,-1,-1
7,10,42,8,2,-1,-1
10,7,42,8,2,-1,-1
7,11,20,31,2,-1,-1
11,7,20,31,2,-1,-1
7,14,18,76,2,-1,-1
14,7,18,76,2,-1,-1
7,15,28,71,2,-1,-1
15,7,28,71,2,-1,-1
7,16,39,55,2,-1,-1
16,7,39,55,2,-1,-1
7,19,8,69,2,-1,-1
