from,to,t0,c0,lanes,initial_SR,initial_FR
0,3,14,64,2,-1,-1
3,0,14,64,2,-1,-1
0,6,18,30,2,-1,-1
6,0,18,30,2,-1,-1
0,7,53,51,2,-1,-1
7,0,53,51,2,-1,-1
0,8,33,77,2,-1,-1
8,0,33,77,2,-1,-1
0,9,12,37,2,-1,-1
9,0,12,37,2,-1,-1
1,3,31,45,2,-1,-1
3,1,31,45,2,-1,-1
1,8,28,45,2,-1,-1
8,1,28,45,2,-1,-1
2,7,53,50,2,-1,-1
7,2,53,50,2,-1,-1
2,10,64,31,2,-1,-1
10,2,64,31,2,-1,-1
3,5,26,59,2,-1,-1
5,3,26,59,2,-1,-1
4,5,67,33,2,-1,-1
5,4,67,33,2,-1,-1
4,7,17,46,2,-1,-1
7,4,17,46,2,-1,-1
4,10,10,45,2,-1,-1
10,4,10,45,2,-1,-1
5,6,21,76,2,-1,-1
6,5,21,76,2,-1,-1
5,8,41,55,2,-1,-1
8,5,41,55,2,-1,-1
6,8,33,55,2,-1,-1
8,6,33,55,2,-1,-1
6,9,31,44,2,-1,-1
9,6,31,44,2,-1,-1
