x,y,SR_demand,exits,injured
0.5668666784188036,0.23123248774956118,111,0,1
0.6457532480598858,0.2802720829529318,103,0,1
0.7564922207815241,0.03618743925468515,91,0,1
0.6350188320013262,0.1869392778959239,102,0,1
0.28625735335047375,0.13289534676869796,99,0,1
0.9358606897832572,0.3077883305128861,87,0,1
0.7399240298684697,0.30374577129111213,117,0,1
0.427756351400556,0.7978998934844964,95,0,1
0.32102389766297756,0.6813034770350772,100,0,1
0.15448153198353276,0.5650697163944072,114,0,1
0.6235240296195966,0.06919324079520073,94,0,1
0.5565551883029308,0.4710779739639587,96,0,1
0.281291304279104,0.38665218216275776,99,0,1
0.6522020806486558,0.8923950776950625,90,0,1
0.9744969951279466,0.5179058610549118,95,0,1
0.4482713147429337,0.13632405323075736,94,0,1
0.649339194905828,0.9230725493288802,99,0,1
0.6030317703504852,0.854100287561654,94,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
