x,y,SR_demand,exits,injured
0.5885353026495804,0.3908081123911209,119,0,1
0.23004930089822506,0.8467251429765881,99,0,1
0.5330706828208357,0.60568419893358,97,0,1
0.5113742378168726,0.02032139174226011,108,0,1
0.7178344073388846,0.131529375323453,86,0,1
0.076922958546085,0.5032254303313423,106,0,1
0.07266549497008601,0.509958909855317,104,0,1
0.5294661694875857,0.00791998916196368,101,0,1
0.5723410591072781,0.11781128723657075,96,0,1
0.8346997294315673,0.3074072864328665,85,0,1
0.13272308735981886,0.1294987231353083,78,0,1
0.3933227582756357,0.6924549102732869,97,0,1
0.806182989285502,0.3924562366149672,80,0,1
0.18101270744830278,0.9708898877859353,99,0,1
0.7750079716249902,0.13658667780092815,104,0,1
0.1861176161773641,0.8769650055096726,109,0,1
0.39376859273450493,0.8256507215296198,87,0,1
0.5334570961632135,0.1897168678757356,93,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
