x,y,SR_demand,exits,injured
0.3372281552068567,0.5759073841436215,104,0,1
0.8919482686378077,0.35134811127550203,106,0,1
0.9249389309204304,0.9872801120733378,117,0,1
0.37352723519519515,0.12990209432995625,89,0,1
0.9530090493125916,0.6917878792323283,95,0,1
0.4488728682476142,0.278156696451371,113,0,1
0.09347097959215067,0.4664206789299955,107,0,1
0.9064211564162138,0.6394122961487086,85,0,1
0.8874071196973721,0.6182951259768247,103,0,1
0.6929800211482203,0.8533218491791676,113,0,1
0.14520229420005992,0.29226969982380846,79,0,1
0.4431750831975191,0.6578246416907786,98,0,1
0.10446880546483472,0.7476628054077727,99,0,1
0.7919981062044356,0.7744721920246913,95,0,1
0.023686857909396952,0.4101755727115354,96,0,1
0.8367979468290743,0.6592899243890485,95,0,1
0.4626073345041428,0.9411016532189626,100,0,1
0.7156311021790944,0.6012401067582074,108,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
