from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,23,44,2,-1,-1
1,0,23,44,2,-1,-1
0,2,45,47,2,-1,-1
2,0,45,47,2,-1,-1
0,4,21,39,2,-1,-1
4,0,21,39,2,-1,-1
0,6,17,36,2,-1,-1
6,0,17,36,2,-1,-1
0,8,29,36,2,-1,-1
8,0,29,36,2,-1,-1
1,5,10,65,2,-1,-1
5,1,10,65,2,-1,-1
1,6,39,40,2,-1,-1
6,1,39,40,2,-1,-1
2,4,31,55,2,-1,-1
4,2,31,55,2,-1,-1
2,5,47,51,2,-1,-1
5,2,47,51,2,-1,-1
2,7,3,70,2,-1,-1
7,2,3,70,2,-1,-1
2,8,46,54,2,-1,-1
8,2,46,54,2,-1,-1
2,9,40,29,2,-1,-1
9,2,40,29,2,-1,-1
3,4,39,58,2,-1,-1
4,3,39,58,2,-1,-1
3,8,3,91,2,-1,-1
8,3,3,91,2,-1,-1
3,9,77,43,2,-1,-1
9,3,77,43,2,-1,-1
3,10,55,58,2,-1,-1
10,3,55,58,2,-1,-1
4,5,17,42,2,-1,-1
5,4,17,42,2,-1,-1
4,7,34,38,2,-1,-1
7,4,34,38,2,-1,-1
5,6,42,31,2,-1,-1
6,5,42,31,2,-1,-1
5,7,50,43,2,-1,-1
7,5,50,43,2,-1,-1
5,9,44,24,2,-1,-1
9,5,44,24,2,-1,-1
6,7,40,44,2,-1,-1
7,6,40,44,2,-1,-1
6,8,13,81,2,-1,-1
8,6,13,81,2,-1,-1
6,10,45,55,2,-1,-1
10,6,45,55,2,-1,-1
7,8,47,16,2,-1,-1
8,7,47,16,2,-1,-1
