from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,35,44,2,-1,-1
1,0,35,44,2,-1,-1
0,2,43,49,2,-1,-1
2,0,43,49,2,-1,-1
0,5,19,41,2,-1,-1
5,0,19,41,2,-1,-1
0,7,34,79,2,-1,-1
7,0,34,79,2,-1,-1
0,8,33,62,2,-1,-1
8,0,33,62,2,-1,-1
0,9,27,67,2,-1,-1
9,0,27,67,2,-1,-1
0,11,8,55,2,-1,-1
11,0,8,55,2,-1,-1
0,12,17,34,2,-1,-1
12,0,17,34,2,-1,-1
0,13,29,69,2,-1,-1
13,0,29,69,2,-1,-1
0,14,21,50,2,-1,-1
14,0,21,50,2,-1,-1
0,15,30,25,2,-1,-1
15,0,30,25,2,-1,-1
0,16,23,28,2,-1,-1
16,0,23,28,2,-1,-1
0,19,35,39,2,-1,-1
19,0,35,39,2,-1,-1
0,20,32,69,2,-1,-1
20,0,32,69,2,-1,-1
0,21,27,48,2,-1,-1
21,0,27,48,2,-1,-1
1,5,26,20,2,-1,-1
5,1,26,20,2,-1,-1
1,7,17,67,2,-1,-1
7,1,17,67,2,-1,-1
1,8,16,32,2,-1,-1
8,1,16,32,2,-1,-1
1,10,44,53,2,-1,-1
10,1,44,53,2,-1,-1
1,11,32,89,2,-1,-1
11,1,32,89,2,-1,-1
1,14,52,58,2,-1,-1
14,1,52,58,2,-1,-1
1,15,18,38,2,-1,-1
15,1,18,38,2,-1,-1
1,16,43,57,2,-1,-1
16,1,43,57,2,-1,-1
1,17,18,73,2,-1,-1
17,1,18,73,2,-1,-1
1,19,31,69,2,-1,-1
19,1,31,69,2,-1,-1
1,21,45,71,2,-1,-1
21,1,45,71,2,-1,-1
2,3,61,87,2,-1,-1
3,2,61,87,2,-1,-1
2,7,20,55,2,-1,-1
7,2,20,55,2,-1,-1
2,8,22,41,2,-1,-1
8,2,22,41,2,-1,-1
2,11,35,71,2,-1,-1
11,2,35,71,2,-1,-1
2,13,15,51,2,-1,-1
13,2,15,51,2,-1,-1
2,15,20,41,2,-1,-1
15,2,20,41,2,-1,-1
2,16,27,47,2,-1,-1
16,2,27,47,2,-1,-1
2,19,64,61,2,-1,-1
19,2,64,61,2,-1,-1
2,20,55,31,2,-1,-1
20,2,55,31,2,-1,-1
2,21,25,26,2,-1,-1
21,2,25,26,2,-1,-1
3,4,48,41,2,-1,-1
4,3,48,41,2,-1,-1
3,5,9,65,2,-1,-1
5,3,9,65,2,-1,-1
3,7,44,36,2,-1,-1
7,3,44,36,2,-1,-1
3,10,16,84,2,-1,-1
10,3,16,84,2,-1,-1
3,12,40,68,2,-1,-1
12,3,40,68,2,-1,-1
3,13,46,63,2,-1,-1
13,3,46,63,2,-1,-1
3,14,26,44,2,-1,-1
14,3,26,44,2,-1,-1
3,15,42,50,2,-1,-1
15,3,42,50,2,-1,-1
3,16,48,43,2,-1,-1
16,3,48,43,2,-1,-1
3,17,34,44,2,-1,-1
17,3,34,44,2,-1,-1
3,19,10,60,2,-1,-1
19,3,10,60,2,-1,-1
3,20,56,47,2,-1,-1
20,3,56,47,2,-1,-1
4,6,53,41,2,-1,-1
6,4,53,41,2,-1,-1
4,7,4,71,2,-1,-1
7,4,4,71,2,-1,-1
4,8,5,62,2,-1,-1
8,4,5,62,2,-1,-1
4,9,18,2,2,-1,-1
9,4,18,2,2,-1,-1
4,11,30,41,2,-1,-1
11,4,30,41,2,-1,-1
4,15,7,19,2,-1,-1
15,4,7,19,2,-1,-1
4,16,33,82,2,-1,-1
16,4,33,82,2,-1,-1
4,17,15,51,2,-1,-1
17,4,15,51,2,-1,-1
4,20,60,10,2,-1,-1
20,4,60,10,2,-1,-1
5,6,24,72,2,-1,-1
6,5,24,72,2,-1,-1
5,8,33,47,2,-1,-1
8,5,33,47,2,-1,-1
5,9,37,27,2,-1,-1
9,5,37,27,2,-1,-1
5,10,18,89,2,-1,-1
10,5,18,89,2,-1,-1
5,11,22,29,2,-1,-1
11,5,22,29,2,-1,-1
5,13,36,28,2,-1,-1
13,5,36,28,2,-1,-1
5,14,26,55,2,-1,-1
14,5,26,55,2,-1,-1
5,17,25,38,2,-1,-1
17,5,25,38,2,-1,-1
5,18,31,40,2,-1,-1
18,5,31,40,2,-1,-1
5,19,16,44,2,-1,-1
19,5,16,44,2,-1,-1
5,21,43,58,2,-1,-1
21,5,43,58,2,-1,-1
6,10,10,69,2,-1,-1
10,6,10,69,2,-1,-1
6,11,23,77,2,-1,-1
11,6,23,77,2,-1,-1
6,12,16,63,2,-1,-1
12,6,16,63,2,-1,-1
6,15,46,68,2,-1,-1
15,6,46,68,2,-1,-1
6,16,36,43,2,-1,-1
16,6,36,43,2,-1,-1
6,18,28,53,2,-1,-1
18,6,28,53,2,-1,-1
7,8,1,84,2,-1,-1
8,7,1,84,2,-1,-1
7,15,4,62,2,-1,-1
15,7,4,62,2,-1,-1
