from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,34,27,2,-1,-1
1,0,34,27,2,-1,-1
0,3,22,37,2,-1,-1
3,0,22,37,2,-1,-1
0,4,17,42,2,-1,-1
4,0,17,42,2,-1,-1
0,5,31,42,2,-1,-1
5,0,31,42,2,-1,-1
0,6,31,68,2,-1,-1
6,0,31,68,2,-1,-1
0,8,16,38,2,-1,-1
8,0,16,38,2,-1,-1
0,9,15,46,2,-1,-1
9,0,15,46,2,-1,-1
0,11,21,55,2,-1,-1
11,0,21,55,2,-1,-1
0,12,13,17,2,-1,-1
12,0,13,17,2,-1,-1
0,13,42,74,2,-1,-1
13,0,42,74,2,-1,-1
0,14,18,70,2,-1,-1
14,0,18,70,2,-1,-1
0,15,37,86,2,-1,-1
15,0,37,86,2,-1,-1
0,16,28,32,2,-1,-1
16,0,28,32,2,-1,-1
0,17,12,41,2,-1,-1
17,0,12,41,2,-1,-1
1,11,13,75,2,-1,-1
11,1,13,75,2,-1,-1
1,13,8,62,2,-1,-1
13,1,8,62,2,-1,-1
1,15,3,27,2,-1,-1
15,1,3,27,2,-1,-1
1,21,18,25,2,-1,-1
21,1,18,25,2,-1,-1
2,3,35,35,2,-1,-1
3,2,35,35,2,-1,-1
2,4,30,43,2,-1,-1
4,2,30,43,2,-1,-1
2,8,29,28,2,-1,-1
8,2,29,28,2,-1,-1
2,11,9,37,2,-1,-1
11,2,9,37,2,-1,-1
2,12,20,63,2,-1,-1
12,2,20,63,2,-1,-1
2,14,31,53,2,-1,-1
14,2,31,53,2,-1,-1
2,15,26,43,2,-1,-1
15,2,26,43,2,-1,-1
2,16,15,52,2,-1,-1
16,2,15,52,2,-1,-1
2,19,36,71,2,-1,-1
19,2,36,71,2,-1,-1
3,5,38,33,2,-1,-1
5,3,38,33,2,-1,-1
3,7,1,49,2,-1,-1
7,3,1,49,2,-1,-1
3,8,6,62,2,-1,-1
8,3,6,62,2,-1,-1
3,9,25,40,2,-1,-1
9,3,25,40,2,-1,-1
3,10,23,46,2,-1,-1
10,3,23,46,2,-1,-1
3,11,40,32,2,-1,-1
11,3,40,32,2,-1,-1
3,13,60,54,2,-1,-1
13,3,60,54,2,-1,-1
3,14,17,15,2,-1,-1
14,3,17,15,2,-1,-1
3,16,48,16,2,-1,-1
16,3,48,16,2,-1,-1
3,17,10,33,2,-1,-1
17,3,10,33,2,-1,-1
3,18,30,34,2,-1,-1
18,3,30,34,2,-1,-1
3,19,1,67,2,-1,-1
19,3,1,67,2,-1,-1
4,5,44,37,2,-1,-1
5,4,44,37,2,-1,-1
4,7,13,39,2,-1,-1
7,4,13,39,2,-1,-1
4,11,38,56,2,-1,-1
11,4,38,56,2,-1,-1
4,12,16,65,2,-1,-1
12,4,16,65,2,-1,-1
4,13,59,52,2,-1,-1
13,4,59,52,2,-1,-1
4,17,11,40,2,-1,-1
17,4,11,40,2,-1,-1
4,18,43,3,2,-1,-1
18,4,43,3,2,-1,-1
4,19,15,52,2,-1,-1
19,4,15,52,2,-1,-1
4,21,53,60,2,-1,-1
21,4,53,60,2,-1,-1
5,6,0,73,2,-1,-1
6,5,0,73,2,-1,-1
5,7,40,27,2,-1,-1
7,5,40,27,2,-1,-1
5,9,46,31,2,-1,-1
9,5,46,31,2,-1,-1
5,11,22,62,2,-1,-1
11,5,22,62,2,-1,-1
5,12,44,54,2,-1,-1
12,5,44,54,2,-1,-1
5,17,33,54,2,-1,-1
17,5,33,54,2,-1,-1
5,18,30,31,2,-1,-1
18,5,30,31,2,-1,-1
6,9,47,45,2,-1,-1
