from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,31,71,2,-1,-1
1,0,31,71,2,-1,-1
0,2,2,40,2,-1,-1
2,0,2,40,2,-1,-1
0,4,28,51,2,-1,-1
4,0,28,51,2,-1,-1
0,5,43,74,2,-1,-1
5,0,43,74,2,-1,-1
0,7,24,46,2,-1,-1
7,0,24,46,2,-1,-1
1,2,29,73,2,-1,-1
2,1,29,73,2,-1,-1
1,3,32,49,2,-1,-1
3,1,32,49,2,-1,-1
1,4,22,40,2,-1,-1
4,1,22,40,2,-1,-1
1,6,30,60,2,-1,-1
6,1,30,60,2,-1,-1
1,7,6,40,2,-1,-1
7,1,6,40,2,-1,-1
1,10,44,35,2,-1,-1
10,1,44,35,2,-1,-1
2,3,49,43,2,-1,-1
3,2,49,43,2,-1,-1
2,6,12,16,2,-1,-1
6,2,12,16,2,-1,-1
2,7,22,84,2,-1,-1
7,2,22,84,2,-1,-1
2,8,42,28,2,-1,-1
8,2,42,28,2,-1,-1
3,5,27,119,2,-1,-1
5,3,27,119,2,-1,-1
3,6,41,44,2,-1,-1
6,3,41,44,2,-1,-1
3,9,53,63,2,-1,-1
9,3,53,63,2,-1,-1
3,10,12,47,2,-1,-1
10,3,12,47,2,-1,-1
4,6,19,70,2,-1,-1
6,4,19,70,2,-1,-1
4,8,14,71,2,-1,-1
8,4,14,71,2,-1,-1
4,9,58,21,2,-1,-1
9,4,58,21,2,-1,-1
5,7,18,35,2,-1,-1
7,5,18,35,2,-1,-1
5,8,30,42,2,-1,-1
8,5,30,42,2,-1,-1
5,10,38,64,2,-1,-1
10,5,38,64,2,-1,-1
6,7,24,69,2,-1,-1
7,6,24,69,2,-1,-1
6,8,32,38,2,-1,-1
8,6,32,38,2,-1,-1
6,10,52,44,2,-1,-1
10,6,52,44,2,-1,-1
7,9,47,49,2,-1,-1
9,7,47,49,2,-1,-1
7,10,46,37,2,-1,-1
10,7,46,37,2,-1,-1
8,9,59,25,2,-1,-1
9,8,59,25,2,-1,-1
8,10,19,32,2,-1,-1
10,8,19,32,2,-1,-1
